# Distance(m) MassDensity(kg/m^3)
0 0.1057546018332769
7645.3529070581408 0.1057546007202466
15290.705814116282 0.10575459738115586
22936.05872117442 0.10575459181600511
30581.411628232563 0.10575458402479505
38226.764535290706 0.10575457400752662
45872.117442348841 0.10575456176420116
53517.470349406984 0.10575454729482013
61162.823256465126 0.10575453059938543
68808.176163523269 0.10575451167789914
76453.529070581411 0.10575449053036368
84098.881977639554 0.10575446715678166
91744.234884697682 0.10575444155715608
99389.587791755825 0.10575441373149014
107034.94069881397 0.1057543836797874
114680.29360587211 0.10575435140205158
122325.64651293025 0.10575431689828686
129970.99941998839 0.10575428016849751
137616.35232704654 0.10575424121268823
145261.70523410468 0.10575420003086387
152907.05814116282 0.10575415662302969
160552.41104822097 0.10575411098919116
168197.76395527911 0.10575406312935405
175843.11686233725 0.10575401304352439
183488.46976939536 0.10575396073170847
191133.82267645351 0.10575390619391295
198779.17558351165 0.10575384943014474
206424.52849056979 0.10575379044041092
214069.88139762793 0.10575372922471901
221715.23430468608 0.1057536657830767
229360.58721174422 0.10575360011549205
237005.94011880236 0.10575353222197333
244651.2930258605 0.10575346210252907
252296.64593291865 0.10575338975716822
259941.99883997679 0.10575331518589984
267587.35174703493 0.10575323838873339
275232.70465409308 0.10575315936567851
282878.05756115122 0.10575307811674527
290523.41046820936 0.10575299464194383
298168.7633752675 0.10575290894128481
305814.11628232565 0.10575282101477901
313459.46918938379 0.10575273086243751
321104.82209644193 0.10575263848427174
328750.17500350007 0.10575254388029334
336395.52791055822 0.10575244705051424
344040.88081761636 0.10575234799494672
351686.2337246745 0.10575224671360321
359331.58663173264 0.10575214320649658
366976.93953879073 0.10575203747363987
374622.29244584887 0.10575192951504642
382267.64535290701 0.1057518193307299
389912.99825996516 0.10575170692070417
397558.3511670233 0.10575159228498346
405203.70407408144 0.10575147542358226
412849.05698113958 0.10575135633651529
420494.40988819773 0.10575123502379762
428139.76279525587 0.10575111148544457
435785.11570231401 0.10575098572147175
443430.46860937215 0.10575085773189496
451075.8215164303 0.10575072751673047
458721.17442348844 0.1057505950759947
466366.52733054658 0.1057504604097043
474011.88023760472 0.10575032351787636
481657.23314466287 0.10575018440052812
489302.58605172101 0.1057500430576772
496947.93895877915 0.10574989948934137
504593.29186583729 0.10574975369553882
512238.64477289544 0.10574960567628794
519883.99767995358 0.10574945543160744
527529.35058701166 0.10574930296151624
535174.70349406986 0.10574914826603368
542820.05640112795 0.10574899134517922
550465.40930818615 0.1057488321989727
558110.76221524423 0.10574867082743424
565756.11512230244 0.10574850723058415
573401.46802936052 0.10574834140844318
581046.82093641872 0.10574817336103219
588692.1738434768 0.10574800308837244
596337.52675053501 0.10574783059048543
603982.87965759309 0.1057476558673929
611628.23256465129 0.105747478919117
619273.58547170938 0.10574729974567999
626918.93837876758 0.10574711834710451
634564.29128582566 0.10574693472341351
642209.64419288386 0.10574674887463012
649854.99709994195 0.10574656080077784
657500.35000700015 0.1057463705018804
665145.70291405823 0.10574617797796186
672791.05582111643 0.10574598322904648
680436.40872817452 0.1057457862551589
688081.76163523272 0.10574558705632396
695727.1145422908 0.10574538563256683
703372.467449349 0.1057451819839129
711017.82035640709 0.10574497611038794
718663.17326346529 0.1057447680120179
726308.52617052337 0.10574455768882911
733953.87907758146 0.10574434514084803
741599.23198463966 0.10574413036810158
749244.58489169774 0.10574391337061687
756889.93779875594 0.10574369414842129
764535.29070581403 0.10574347270154248
772180.64361287223 0.10574324903000845
779825.99651993031 0.1057430231338474
787471.34942698851 0.10574279501308786
795116.7023340466 0.10574256466775862
802762.0552411048 0.10574233209788882
810407.40814816288 0.10574209730350778
818052.76105522108 0.10574186028464511
825698.11396227917 0.10574162104133082
833343.46686933737 0.10574137957359502
840988.81977639545 0.10574113588146829
848634.17268345365 0.10574088996498129
856279.52559051174 0.10574064182416515
863924.87849756994 0.10574039145905115
871570.23140462802 0.10574013886967094
879215.58431168622 0.10573988405605635
886860.93721874431 0.10573962701823961
894506.29012580251 0.10573936775625312
902151.64303286059 0.10573910627012965
909796.99593991879 0.10573884255990219
917442.34884697688 0.10573857662560401
925087.70175403508 0.10573830846726873
932733.05466109316 0.10573803808493017
940378.40756815136 0.10573776547862243
948023.76047520945 0.10573749064838001
955669.11338226765 0.10573721359423753
963314.46628932573 0.10573693431622998
970959.81919638393 0.10573665281439264
978605.17210344202 0.105736369088761
986250.5250105001 0.10573608313937091
993895.8779175583 0.10573579496625844
1001541.2308246164 0.10573550456946
1009186.5837316746 0.10573521194901224
1016831.9366387327 0.10573491710495206
1024477.2895457909 0.10573462003731672
1032122.642452849 0.10573432074614368
1039767.9953599072 0.10573401923147073
1047413.3482669652 0.10573371549333596
1055058.7011740233 0.10573340953177766
1062704.0540810816 0.10573310134683449
1070349.4069881397 0.10573279093854532
1077994.7598951978 0.10573247830694933
1085640.1128022559 0.105732163452086
1093285.4657093142 0.10573184637399505
1100930.8186163723 0.10573152707271652
1108576.1715234304 0.10573120554829069
1116221.5244304885 0.10573088180075813
1123866.8773375468 0.10573055583015975
1131512.2302446049 0.10573022763653665
1139157.583151663 0.10572989721993026
1146802.936058721 0.10572956458038227
1154448.2889657794 0.10572922971793469
1162093.6418728374 0.10572889263262976
1169738.9947798955 0.10572855332451003
1177384.3476869536 0.10572821179361828
1185029.7005940119 0.1057278680399977
1192675.05350107 0.1057275220636916
1200320.4064081281 0.10572717386474366
1207965.7593151862 0.10572682344319784
1215611.1122222445 0.10572647079909836
1223256.4651293026 0.10572611593248969
1230901.8180363607 0.10572575884341663
1238547.1709434188 0.10572539953192425
1246192.5238504768 0.10572503799805789
1253837.8767575352 0.10572467424186317
1261483.2296645932 0.105724308263386
1269128.5825716513 0.10572394006267252
1276773.9354787094 0.10572356963976927
1284419.2883857677 0.10572319699472291
1292064.6412928258 0.10572282212758052
1299709.9941998839 0.10572244503838937
1307355.347106942 0.10572206572719706
1315000.7000140003 0.10572168419405144
1322646.0529210584 0.10572130043900067
1330291.4058281165 0.10572091446209314
1337936.7587351745 0.10572052626337756
1345582.1116422329 0.10572013584290293
1353227.4645492909 0.1057197432007185
1360872.817456349 0.1057193483368738
1368518.1703634071 0.10571895125141868
1376163.5232704654 0.10571855194440319
1383808.8761775235 0.10571815041587777
1391454.2290845816 0.10571774666589301
1399099.5819916397 0.10571734069449992
1406744.934898698 0.10571693250174967
1414390.2878057561 0.10571652208769376
1422035.6407128142 0.10571610945238401
1429680.9936198723 0.10571569459587242
1437326.3465269306 0.10571527751821139
1444971.6994339887 0.10571485821945349
1452617.0523410467 0.10571443669965162
1460262.4052481048 0.10571401295885896
1467907.7581551629 0.10571358699712897
1475553.1110622212 0.1057131588145154
1483198.4639692793 0.10571272841107225
1490843.8168763374 0.10571229578685382
1498489.1697833955 0.10571186094191465
1506134.5226904538 0.10571142387630963
1513779.8755975119 0.10571098459009388
1521425.22850457 0.10571054308332282
1529070.5814116281 0.10571009935605213
1536715.9343186864 0.10570965340833779
1544361.2872257445 0.10570920524023607
1552006.6401328025 0.10570875485180345
1559651.9930398606 0.10570830224309674
1567297.3459469189 0.10570784741417308
1574942.698853977 0.10570739036508982
1582588.0517610351 0.10570693109590458
1590233.4046680932 0.10570646960667529
1597878.7575751515 0.10570600589746017
1605524.1104822096 0.1057055399683177
1613169.4633892677 0.10570507181930663
1620814.8162963258 0.10570460145048605
1628460.1692033841 0.10570412886191521
1636105.5221104422 0.10570365405365377
1643750.8750175002 0.10570317702576161
1651396.2279245583 0.10570269777829884
1659041.5808316167 0.10570221631132594
1666686.9337386747 0.10570173262490358
1674332.2866457328 0.10570124671909284
1681977.6395527909 0.10570075859395489
1689622.9924598492 0.10570026824955139
1697268.3453669073 0.1056997756859441
1704913.6982739654 0.10569928090319515
1712559.0511810235 0.10569878390136693
1720204.4040880816 0.10569828468052214
1727849.7569951399 0.10569778324072369
1735495.109902198 0.10569727958203484
1743140.462809256 0.10569677370451908
1750785.8157163141 0.10569626560824019
1758431.1686233724 0.10569575529326222
1766076.5215304305 0.10569524275964956
1773721.8744374886 0.10569472800746682
1781367.2273445467 0.1056942110367789
1789012.580251605 0.1056936918476509
1796657.9331586631 0.10569317044014839
1804303.2860657212 0.1056926468143371
1811948.6389727793 0.10569212097028299
1819593.9918798376 0.10569159290805234
1827239.3447868957 0.1056910626277118
1834884.6976939538 0.10569053012932816
1842530.0506010118 0.10568999541296858
1850175.4035080702 0.10568945847870047
