# Distance(m) MassDensity(kg/m^3)
0 0.016521718675602742
7645.3529070581408 0.016521718648437166
15290.705814116282 0.016521718566940444
22936.05872117442 0.016521718431112577
30581.411628232563 0.016521718240953567
38226.764535290706 0.01652171799646342
45872.117442348841 0.016521717697642137
53517.470349406984 0.016521717344489723
61162.823256465126 0.01652171693700619
68808.176163523269 0.016521716475191545
76453.529070581411 0.016521715959045787
84098.881977639554 0.01652171538856894
91744.234884697682 0.016521714763761013
99389.587791755825 0.016521714084622011
107034.94069881397 0.016521713351151959
114680.29360587211 0.016521712563350856
122325.64651293025 0.016521711721218729
129970.99941998839 0.016521710824755589
137616.35232704654 0.016521709873961458
145261.70523410468 0.016521708868836357
152907.05814116282 0.016521707809380292
160552.41104822097 0.016521706695593302
168197.76395527911 0.016521705527475398
175843.11686233725 0.016521704305026603
183488.46976939536 0.016521703028246949
191133.82267645351 0.016521701697136449
198779.17558351165 0.016521700311695142
206424.52849056979 0.016521698871923046
214069.88139762793 0.016521697377820194
221715.23430468608 0.016521695829386614
229360.58721174422 0.016521694226622339
237005.94011880236 0.016521692569527398
244651.2930258605 0.016521690858101821
252296.64593291865 0.016521689092345648
259941.99883997679 0.01652168727225891
267587.35174703493 0.016521685397841643
275232.70465409308 0.016521683469093884
282878.05756115122 0.016521681486015675
290523.41046820936 0.016521679448607052
298168.7633752675 0.016521677356868051
305814.11628232565 0.016521675210798718
313459.46918938379 0.016521673010399099
321104.82209644193 0.016521670755669231
328750.17500350007 0.016521668446609159
336395.52791055822 0.016521666083218933
344040.88081761636 0.016521663665498593
351686.2337246745 0.016521661193448195
359331.58663173264 0.016521658667067778
366976.93953879073 0.0165216560863574
374622.29244584887 0.016521653451317109
382267.64535290701 0.016521650761946956
389912.99825996516 0.016521648018246998
397558.3511670233 0.016521645220217287
405203.70407408144 0.016521642367857872
412849.05698113958 0.01652163946116882
420494.40988819773 0.016521636500150177
428139.76279525587 0.016521633484802015
435785.11570231401 0.016521630415124382
