# δNe20_ratio δHe3_ratio
0 1.393707371732944e-08
0.18657197075189202 14835.177981342571
1.874850765842595 103953.79486918305
5.6863965503151093 187297.87520884073
7.623775330917848 208159.10119279104
19.713300470627804 260356.35656661013
80.504101383083167 295660.55511281342
0 6.2394533983933798e-11
0.63988660796487906 2217.0093699920681
6.3658553808223495 20991.160253163423
18.881111581041221 56318.314694865578
25.032951902734357 71322.340930173188
60.535620596494425 137038.8180236448
186.46491285333445 244172.54784603615
0 8.659739592076221e-12
15.232462321273621 2274.3013186077696
114.62524069347957 21499.330397897782
221.8573127854624 57509.424291001087
251.23630146627684 72738.505677590205
329.86280096426788 138988.56273619199
387.63051984265593 245438.44174260175
0 -4.4408920985006262e-13
68.423969644279879 2409.200091685083
272.73160646365892 22689.493745961376
350.18492083745724 60271.417073780271
363.07362485082592 76008.597698853569
388.83376902030233 143409.57121700895
402.43019791012682 248226.8625361172
0 2.2204460492503131e-13
209.91717457802395 2591.3263562876423
371.69396337949757 24282.295986458052
394.19736585887421 63908.317182450475
397.20334240169632 80285.436106060341
402.73123618534743 149026.46424845466
405.41800645715153 251614.06465772839
0 -1.1102230246251565e-13
394.42688044785257 3178.0542078048202
404.93255782379879 29306.631738189688
405.73306307683254 74953.93768680362
405.83334882853262 93075.448089289595
406.01398816773673 164788.83320427514
406.10006343239877 260288.12386146904
