# δNe20_ratio δHe3_ratio
0 -6.8167693711984612e-11
1.9844439946792303 307.61451504584448
3.9496281484601159 521.45042139668305
5.8958314942332279 678.71928195112139
7.8233277006931612 799.24497461967144
9.7323852006263589 894.55725033884721
17.189420414631009 1135.2323472997093
0 -1.0658141036401503e-11
8.8332901577643508 253.90003969588548
17.290671945892289 442.1663230734174
25.395641086868981 587.33566100872076
33.169775169108021 702.68652881725211
40.632925471718593 796.55053338473158
67.721245366688223 1044.6199609335301
0 -1.7763568394002505e-12
40.436404483257689 277.28065325601102
73.550287816430469 477.20344811253977
101.16553282605435 628.17821254335661
124.54673753920686 746.22061327172287
144.59832836623531 841.04637936313065
202.57995996018408 1086.4977217395201
0 -3.3306690738754696e-13
154.48757960428438 330.74969327558557
223.83172825667441 554.3128942637494
263.21434309611334 715.5282468572608
288.60389860861414 837.2855489013225
306.3331671456022 932.49156576360303
343.88967805070746 1168.7517564395034
0 2.2204460492503131e-13
316.7333594598436 403.5353986118937
355.90137116047237 653.01028496524975
371.20264273996816 822.50811010323673
379.35750340601129 945.1746704159425
384.42470314509711 1038.0629547900555
393.77543136390949 1257.8212441844557
0 -5.5511151231257827e-13
387.42833871384084 491.34422962446479
396.55529357235753 763.39403461788731
399.69392858247386 936.1761940281574
401.2819512384558 1055.63988559619
402.24083629853413 1143.1662702150179
403.95688422389628 1340.8019249633262
