# δAr40_ratio δHe3_ratio
0 -3.3306690738754696e-12
-173.86908376425347 1131.4873392536349
-296.23449210309428 1361.980343791585
-387.02871928641093 1461.1996914685622
-457.07404840341195 1516.4353362191769
-512.75363262561564 1551.6277159341253
0 4.4408920985006262e-13
-297.5859333357983 871.54258633764516
-458.6785354558167 1154.7039288948722
-559.66696435270433 1294.9450717456589
-628.90025496022031 1378.6659658290423
-679.32129260868624 1434.3044256477779
0 0
-484.07703390802146 646.15201187947764
-652.36290288443638 937.9656276613955
-737.86768548715463 1104.1894161332589
-789.61483783965457 1211.5426046165903
-824.30006548560937 1286.594985270134
0 2.2204460492503131e-13
-697.37185990733201 482.82232933765744
-821.70860341143737 753.06850939471133
-873.62936298920306 925.79834629027062
-902.13052627760158 1045.726451916468
-920.14167090384819 1133.8542800141083
0 0
-954.76974983288687 307.61451504590133
-976.86086880219739 521.45042139673285
-984.45351253259037 678.71928195115538
-988.29426739994358 799.24497461969656
-990.61313905027669 894.55725033888098
0 2.2204460492503131e-13
-998.75141779106582 253.90003969589725
-999.37432639363055 442.16632307342871
-999.5821352971459 587.3356610087277
-999.68607216095597 702.68652881725882
-999.74844465498143 796.55053338473908
